,Name,District,Price,latitude,longitude
43,South Horizons Phase 2Flat D Lower Floor Block 13A,Ap Lei Chau,9400000,22.24403126419287,114.14503248084532
44,Po On Building 2 RoomsFlat D Higher Floor,Yuen Long,3650000,22.44415010000006,114.0319472000001
45,South Horizons Phase 3 3 Rooms 2 Living RoomsFlat H Middle Floor Block 18,Ap Lei Chau,17200000,22.24403126419287,114.14503248084532
46,South Horizons Phase 2 4 Rooms 2 Living RoomsFlat G Lower Floor Block 10,Ap Lei Chau,17480000,22.24403126419287,114.14503248084532
48,Shan Kwong Towers 3 Rooms 2 Living RoomsFlat B Lower Floor,Happy Valley / Mid-Levels East,16680000,22.266981206626042,114.18496746102664
49,World-Wide Gardens 2 Rooms 2 Living RoomsFlat A Higher Floor Laurel Court(Block 3A),Shatin,12280000,22.363872899818666,114.17919398330709
50,The Grand Panorama 1 RoomFlat C Lower Floor Block 1,Mid-Levels West,16000000,22.279089674053342,114.14983603016528
51,Venice Gardens 2 RoomsFlat A Higher Floor Block 1,Tuen Mun,6180000,22.499431633623047,114.1135680461831
52,Greenview Garden 3 Rooms 1 Living RoomFlat 5 Middle Floor Block A,Shatin,8150000,22.282193177928264,114.14159443434653
53,Yoho Town Yoho MidtownFlat D Middle Floor Block M8,Yuen Long,12800000,22.441881240464795,114.03707245036298
54,May Mansion 2 RoomsFlat B Lower Floor,Happy Valley / Mid-Levels East,9100000,22.268382400000064,114.18418720000011
55,The Belcher's Phase 2 3 RoomsFlat E Middle Floor Block 5,Mid-Levels West,23800000,22.28583075660209,114.13287578181229
56,Hang Cheong Building 2 RoomsFlat A Middle Floor,Yuen Long,4000000,22.444930400000032,114.02920670000003
57,Jubilee Garden 2 Rooms 1 Living RoomFlat D Higher Floor Block 4,Shatin,8300000,22.284006193401098,114.15491604710004
58,South Horizons Phase 4 (The Oasis) 2 Rooms 2 Living RoomsFlat B Lower Floor Block 30,Ap Lei Chau,9100000,22.24403126419287,114.14503248084532
59,The ReachFlat F Higher Floor Tower 03,Yuen Long,5850000,22.276830000000075,114.17612000000008
60,Fanling Centre Phase 1 2 RoomsFlat 8 Lower Floor Block A,Sheung Shui / Fanling,5760000,22.49233706504681,114.14538776229386
61,Greenpark Villa 3 RoomsFlat A Lower Floor Block 3,Sheung Shui / Fanling,7300000,22.495289223626344,114.13327447809979
62,The Visionary 3 Rooms 1 Living RoomFlat B Lower Floor Tower 09,Tung Chung,12600000,22.295534217428838,113.95101347450077
63,The Belcher's Phase 2 4 Rooms 2 Living RoomsFlat F Higher Floor Block 6,Mid-Levels West,42000000,22.28473725817713,114.13339645454323
64,Century Gateway Phase 2 1 Room 1 Living RoomFlat F Middle Floor Block 6,Tuen Mun,7250000,22.39921550378166,113.96906814257107
65,May Shing Court 2 RoomsFlat 15 Higher Floor Kwai Shing House,Shatin,6000000,22.37874000000005,114.17417000000012
66,Vantage Park 3 RoomsFlat E Lower Floor Block 2,Mid-Levels West,15100000,22.27947622405094,114.150590442051
67,City One Shatin Phase 2 2 Rooms 2 Living RoomsFlat H Lower Floor Block 17,Shatin,5450000,22.397403839229327,114.19120223922243
68,Tsuen King Garden Phase 1Flat G Middle Floor Block 04,Tsuen Wan,7200000,22.376550753776243,114.10561202750802
69,Wing Fok CentreFlat H Lower Floor Block 6,Sheung Shui / Fanling,6250000,22.50128721343168,114.14087244472182
70,Kennedy Park At Central 4 Rooms 2 Living RoomsFlat A Lower Floor,Mid-Levels Central / Admiralty,70000000,22.282969379750114,114.1568944089687
71,City One Shatin Phase 2 1 Room 1 Living RoomFlat D Higher Floor Block 19,Shatin,6300000,22.397403839229327,114.19120223922243
72,Greenery Plaza 2 Rooms 1 Living RoomFlat 5 Lower Floor Block B,Tai Po,5700000,22.405935578354228,114.20325937546255
73,Wai Wah Centre 1 Room 2 Living RoomsFlat G Middle Floor Block 3,Shatin,6000000,22.38099919013166,114.18719345011903
74,Tung Chung Crescent Phase 1 2 Rooms 2 Living RoomsFlat B Middle Floor Block 1,Tung Chung,8400000,22.287116116825302,113.94081283441687
75,City One Shatin Phase 3 2 Rooms 2 Living RoomsFlat D Higher Floor Block 31,Shatin,6000000,22.382035894900582,114.20210163031686
76,City One Shatin Phase 2Flat B Middle Floor Block 22,Shatin,8300000,22.382035894900582,114.20210163031686
77,Heya StarFlat B Lower Floor Block 1,Cheung Sha Wan / Sham Shui Po,8650000,22.48999180000004,114.10196750000011
78,Park Signature 1 Room 1 Living RoomFlat A Lower Floor Block 9,Yuen Long,6600000,22.436693196603926,114.02376341897889
79,Kam Men MansionFlat F Lower Floor,Tuen Mun,4500000,22.402527000000077,113.97793690000003
80,Kingswood Villas Maywood Court 3 Rooms 2 Living RoomsFlat D Middle Floor Block 03,Tin Shui Wai,6000000,22.460627908637033,114.00608254822562
81,Wylie Court 4 Rooms 2 Living RoomsFlat B Middle Floor Wylie Court Block A,Kingspark,34000000,22.307723803588985,114.17842922461148
82,Hong Lam Court 3 Rooms 1 Living RoomFlat 5 Lower Floor Block A - (Shan Lam House),Shatin,6500000,22.380869179659044,114.21753744243279
83,Whampoa Garden Site 5 2 Rooms 2 Living RoomsFlat B Higher Floor Block 04,Hung Hom,9200000,22.304851214300243,114.19032543650519
84,Larvotto 1 Room 2 Living RoomsFlat B Higher Floor Block 09,Ap Lei Chau,25730000,22.24014323705819,114.15969945916629
85,Kwai Chung Plaza 3 RoomsFlat H Lower Floor Block 1,Kwai Chung,8279999,22.35813422600745,114.12757348237415
86,Vista Paradiso Phase 1 3 RoomsFlat H Lower Floor Block 09,Ma On Shan,9500000,22.420017627263448,114.21012262544133
87,Regentville Phase 1 2 RoomsFlat F Higher Floor Block 5,Sheung Shui / Fanling,6500000,22.49233706504681,114.14538776229386
88,Merry Court 3 Rooms 2 Living RoomsFlat E Higher Floor Phase 1,Kowloon Tong / Beacon Hill,10000000,22.370468913276486,114.17151813182707
89,The Merton 2 Rooms 2 Living RoomsFlat A Higher Floor Block 2,Hong Kong West,13500000,22.283126192320196,114.12644247126241
90,On Shing CourtFlat 11 Lower Floor Block A,Sheung Shui / Fanling,4000000,22.289795373701395,114.20778927123536
91,Handsome CourtFlat A Higher Floor Block 7,Tuen Mun,7000000,22.3874512655878,113.98186847867225
92,Caribbean Coast Phase 4 3 Rooms 2 Living RoomsFlat H Higher Floor Block 15,Tung Chung,12000000,22.29301220326022,113.95091241413331
93,South Horizons Phase 4 (The Oasis) 2 Rooms 2 Living RoomsFlat B Higher Floor Block 25,Ap Lei Chau,9980000,22.24403126419287,114.14503248084532
94,Celestial Heights Phase 1 4 Rooms 2 Living RoomsFlat 35 Higher Floor Celestial Avenue 35,Ho Man Tin,39800000,22.316226112803548,114.17339404773588
95,Chelsea Court 4 Rooms 2 Living RoomsFlat C Higher Floor Tower West (B1),Tsuen Wan,14300000,22.263907326591006,114.14848373607478
96,Grand Palisades 2 RoomsFlat F Lower Floor Block 08,Tai Po,7250000,22.441123364699656,114.1737117251287
97,Luk Yeung Sun Chuen 2 Rooms 2 Living RoomsFlat 5 Lower Floor Block S,Tsuen Wan,7700000,22.373240255924543,114.1205484088349
98,Bayshore Towers 2 RoomsFlat E Middle Floor Block 2,Ma On Shan,7500000,22.4255211939888,114.23133946360929
